"VCF0004","VCF0101","VCF0102","VCF0103","VCF0104","VCF0106A","VCF0110","VCF0111","VCF0112","VCF0113","VCF0114","VCF0115","VCF0116","VCF0118","VCF0127","VCF0128B","VCF0138","VCF0142","VCF0143","VCF0146","VCF0147","VCF0148","VCF0148A","VCF0149","VCF0150","VCF0151","VCF0152","VCF0154B","VCF0702","VCF0704","VCF0704A","VCF0705","VCF0706","VCF0707","VCF0708","VCF9001","VCF9002","VCF9009","VCF9013","VCF9014","VCF9015","VCF9016","VCF9017","VCF9018","VCF9026","VCF9027","VCF9028","VCF9029","VCF9030","VCF9030A","VCF9030B","VCF9030C","VCF9031","VCF9032","VCF9035","VCF9036","VCF9037","VCF9039","VCF9040","VCF9041","VCF9042","VCF9045","VCF9048","VCF9049","VCF9055"
1990,57,5,4,1,1,4,3,2,2,4,3,5,3,2,1,0,125,1,2,1,4,4,1,50,3,10,8,1,NA,NA,NA,NA,2,NA,30,1,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,5,2,2,85
1990,83,7,6,2,1,1,2,2,2,1,2,5,3,2,3,0,131,5,1,5,0,NA,6,50,2,400,5,1,NA,NA,NA,NA,1,2,50,2,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,2,5,NA,0,8,NA,NA,NA,NA,NA,8,3,1,12
1990,49,4,4,2,1,2,2,2,2,NA,2,6,2,2,0,0,131,1,1,1,4,4,1,60,2,230,5,2,NA,NA,NA,NA,NA,NA,90,3,5,1,4,2,5,5,1,NA,NA,NA,NA,5,1,NA,NA,5,NA,7,8,NA,5,1,1,5,3,3,1,12
1990,49,4,4,2,1,2,3,3,1,4,5,1,1,1,0,0,154,1,1,1,4,4,1,10,5,270,9,2,NA,NA,NA,NA,NA,NA,90,3,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,5,2,1,12
1990,21,1,2,1,1,1,3,3,1,3,3,1,1,2,7,1,154,1,1,3,1,1,3,10,3,NA,11,2,NA,NA,NA,NA,NA,NA,15,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,3,8,NA,NA,NA,NA,NA,3,3,8,12
1990,18,1,2,2,2,2,2,2,2,NA,NA,8,5,2,7,5,134,1,2,2,4,4,1,80,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,4,NA,NA,NA,NA,NA,1,1,2,81
1990,23,1,2,2,2,2,2,2,2,1,6,7,4,2,0,2,124,1,2,2,4,4,1,70,3,10,NA,2,NA,NA,NA,NA,NA,NA,0,1,1,2,3,2,4,2,2,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,3,2,2,1,5,2,2,81
1990,26,2,2,2,1,2,2,2,2,1,6,7,4,2,1,3,124,1,2,3,1,1,4,71,2,181,5,2,NA,NA,NA,NA,NA,NA,0,1,5,1,2,1,5,1,2,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,5,1,1,2,1,2,1,81
1990,18,1,2,2,2,2,2,2,2,1,NA,8,5,2,1,1,124,1,2,2,1,1,4,80,3,269,NA,2,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,1,NA,7,8,NA,NA,NA,NA,NA,5,2,1,81
1990,71,6,5,2,1,2,3,3,1,3,2,6,2,2,1,0,144,1,1,1,1,1,3,60,2,124,4,2,NA,NA,NA,NA,NA,NA,57,5,1,2,2,4,2,2,4,NA,2,NA,NA,7,2,2,2,5,NA,7,4,NA,4,2,2,4,1,3,2,14
1990,78,7,5,2,1,1,3,3,1,NA,3,5,3,2,0,2,144,1,1,5,4,4,1,50,3,230,6,2,NA,NA,NA,NA,NA,NA,90,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,4,2,NA,NA,NA,NA,NA,3,2,1,14
1990,36,3,3,2,2,4,3,3,1,3,1,4,2,2,2,1,144,1,1,3,1,1,3,40,1,231,2,1,NA,NA,NA,NA,1,1,90,3,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,3,3,1,14
1990,30,2,2,1,1,2,2,3,1,4,3,1,1,2,7,0,124,1,2,7,1,1,4,10,3,NA,10,2,NA,NA,NA,NA,NA,NA,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,0,8,NA,NA,NA,NA,NA,3,3,1,85
1990,65,6,5,1,1,2,3,4,2,4,3,5,3,2,1,0,154,1,2,1,1,1,4,50,3,148,10,1,NA,NA,NA,NA,2,NA,0,1,1,2,1,2,5,3,1,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,5,1,1,5,3,2,1,85
1990,69,6,5,2,1,2,3,4,2,3,6,7,4,2,0,0,134,1,1,1,6,6,1,70,6,270,NA,1,NA,NA,NA,NA,1,NA,11,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,5,NA,7,2,NA,NA,NA,NA,NA,3,3,1,85
1990,44,3,3,2,1,4,3,2,2,3,3,1,1,2,0,2,133,1,1,1,4,4,1,10,3,220,12,1,NA,NA,NA,NA,1,1,90,3,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,3,8,2,21
1990,19,1,2,1,1,NA,3,2,2,1,NA,8,5,2,0,0,125,1,2,2,4,4,1,81,1,230,2,1,NA,NA,NA,NA,1,2,0,1,2,4,3,3,3,4,2,NA,NA,NA,NA,7,2,2,2,5,NA,5,2,NA,2,4,3,3,3,1,2,21
1990,75,7,5,2,1,2,3,2,2,2,3,1,1,2,0,0,125,1,1,5,NA,NA,6,15,3,220,11,2,NA,NA,NA,NA,NA,NA,46,5,4,3,1,1,3,1,5,NA,NA,NA,NA,5,1,NA,NA,5,NA,0,8,NA,2,1,1,5,1,3,1,85
